"col_names","des"
"StartDate","Start Date"
"EndDate","End Date"
"Status","Response Type"
"IPAddress","IP Address"
"Progress","Progress"
"Duration (in seconds)","Duration (in seconds)"
"Finished","Finished"
"RecordedDate","Recorded Date"
"ResponseId","Response ID"
"RecipientLastName","Recipient Last Name"
"RecipientFirstName","Recipient First Name"
"RecipientEmail","Recipient Email"
"ExternalReference","External Data Reference"
"LocationLatitude","Location Latitude"
"LocationLongitude","Location Longitude"
"DistributionChannel","Distribution Channel"
"UserLanguage","User Language"
"Phone/tablet","Are you completing this survey on a mobile device or tablet?"
"Gender...19","What is your gender? - Selected Choice"
"Gender_3_TEXT","What is your gender? - Other (please specify): - Text"
"Residence","What is your country of residence? - Selected Choice"
"Residence_3_TEXT","What is your country of residence? - Other (please specify): - Text"
"Nationality","What is your nationality? - Selected Choice"
"Nationality_2_TEXT","What is your nationality? - Other (please specify): - Text"
"MTurkID","To receive your bonus payment, you must enter your Mechanical Turk ID into the box below and then click to continue.



Your WorkerID starts with the letter A and has 12-14 letters or numbers. It is not your email address.

 

To ensure accuracy, please copy and paste your WorkerID from Mturk. This makes sure that there are no mistakes. An example of a common mistake is that ""0"" (the number) is written instead of an ""O"" (the letter). Mistakes like that may significantly delay your bonus payment.  



Enter your WorkerID here:"
"Example","As an example, if the following sequence appears on your screen:

8 x 4


You would enter ""32"" in the text box. Please press next to continue."
"task_comp_check1","What would you enter if the problem ""4 x 12"" appeared on the screen, as shown below? 
 4 x 12"
"task_comp_check2","The correct answer to the previous question was ""48."" To proceed you must answer a comprehension question correctly. What would you enter if the problem ""2 x 1"" appeared on the screen, as shown below? 

2 x 1"
"task_comp_check3","The correct answer to the previous question was ""2."" To proceed you must answer a comprehension question correctly. What would you enter if the problem ""6 x 11"" appeared on the screen, as shown below?    
6 x 11"
"Comp_check_PR1","How much would you earn if you complete 120 problems under the Piece Rate payment scheme (with $.10 for every problem solved correctly)?"
"Comp_check_PR1_DO","How much would you earn if you complete 120 problems under the Piece Rate payment scheme (with $.10 for every problem solved correctly)? - Display Order"
"comp_check_PR2","How much would you earn if you complete 140 problems under the Piece Rate payment scheme (with $.10 for every problem solved correctly)?"
"comp_check_PR2_DO","How much would you earn if you complete 140 problems under the Piece Rate payment scheme (with $.10 for every problem solved correctly)? - Display Order"
"Comp_check_comp1","How much would you earn if you complete 120 problems under the Tournament payment scheme and your opponent completes 100 problems (with $.20 for every problem solved correctly if you beat your opponent)?"
"Comp_check_comp1_DO","How much would you earn if you complete 120 problems under the Tournament payment scheme and your opponent completes 100 problems (with $.20 for every problem solved correctly if you beat your opponent)? - Display Order"
"Comp_check_comp2","How much would you earn if you complete 140 problems under the Tournament payment scheme and your opponent completes 120 problems (with $.20 for every problem solved correctly if you beat your opponent)?"
"Comp_check_comp2_DO","How much would you earn if you complete 140 problems under the Tournament payment scheme and your opponent completes 120 problems (with $.20 for every problem solved correctly if you beat your opponent)? - Display Order"
"Comp_check_comp3","How much would you earn if you complete 100 problems under the Tournament payment scheme and your opponent completes 120 problems (with $.20 for every problem solved correctly if you beat your opponent)?"
"Comp_check_comp3_DO","How much would you earn if you complete 100 problems under the Tournament payment scheme and your opponent completes 120 problems (with $.20 for every problem solved correctly if you beat your opponent)? - Display Order"
"Comp_check_comp4","How much would you earn if you complete 120 problems under the Tournament payment scheme and your opponent completes 140 problems (with $.20 for every problem solved correctly if you beat your opponent)?"
"Comp_check_comp4_DO","How much would you earn if you complete 120 problems under the Tournament payment scheme and your opponent completes 140 problems (with $.20 for every problem solved correctly if you beat your opponent)? - Display Order"
"prep_choice","There is an option to practice/study before completing the multiplication task that is available to all participants. If you take this opportunity to practice/study, we will provide you with materials that may help boost your performance in the multiplication task. You will have unlimited time to practice/study before completing the task. You can stop practicing/studying at any point. Do you want to practice/study for the multiplication task?"
"prep1_times_choice","Please feel free to study the 1 times table below. Would you like to practice problems from the 1 times table?"
"Q1201","What is the answer to 1 x 1?"
"Q1202","What is the answer to 1 x 2?"
"Q1203","What is the answer to 1 x 3?"
"Q1204","What is the answer to 1 x 4?"
"Q1205","What is the answer to 1 x 5?"
"Q1206","What is the answer to 1 x 6?"
"Q1207","What is the answer to 1 x 7?"
"Q1208","What is the answer to 1 x 8?"
"Q1209","What is the answer to 1 x 9?"
"Q1210","What is the answer to 1 x 10?"
"Q1211","What is the answer to 1 x 11?"
"Q1212","What is the answer to 1 x 12?"
"Q1213","Would you like to continue practicing problems from the 1 times table?"
"3_Q1138","What is the answer to 1 x 1?"
"3_Q1139","What is the answer to 1 x 2?"
"3_Q1140","What is the answer to 1 x 3?"
"3_Q1141","What is the answer to 1 x 4?"
"3_Q1142","What is the answer to 1 x 5?"
"3_Q1143","What is the answer to 1 x 6?"
"3_Q1144","What is the answer to 1 x 7?"
"3_Q1145","What is the answer to 1 x 8?"
"3_Q1146","What is the answer to 1 x 9?"
"3_Q1147","What is the answer to 1 x 10?"
"3_Q1148","What is the answer to 1 x 11?"
"3_Q1149","What is the answer to 1 x 12?"
"3_review1_choice","Would you like to continue practicing problems from the 1 times table?"
"6_Q1138","What is the answer to 1 x 1?"
"6_Q1139","What is the answer to 1 x 2?"
"6_Q1140","What is the answer to 1 x 3?"
"6_Q1141","What is the answer to 1 x 4?"
"6_Q1142","What is the answer to 1 x 5?"
"6_Q1143","What is the answer to 1 x 6?"
"6_Q1144","What is the answer to 1 x 7?"
"6_Q1145","What is the answer to 1 x 8?"
"6_Q1146","What is the answer to 1 x 9?"
"6_Q1147","What is the answer to 1 x 10?"
"6_Q1148","What is the answer to 1 x 11?"
"6_Q1149","What is the answer to 1 x 12?"
"6_review1_choice","Would you like to continue practicing problems from the 1 times table?"
"8_Q1138","What is the answer to 1 x 1?"
"8_Q1139","What is the answer to 1 x 2?"
"8_Q1140","What is the answer to 1 x 3?"
"8_Q1141","What is the answer to 1 x 4?"
"8_Q1142","What is the answer to 1 x 5?"
"8_Q1143","What is the answer to 1 x 6?"
"8_Q1144","What is the answer to 1 x 7?"
"8_Q1145","What is the answer to 1 x 8?"
"8_Q1146","What is the answer to 1 x 9?"
"8_Q1147","What is the answer to 1 x 10?"
"8_Q1148","What is the answer to 1 x 11?"
"8_Q1149","What is the answer to 1 x 12?"
"8_review1_choice","Would you like to continue practicing problems from the 1 times table?"
"10_Q1138","What is the answer to 1 x 1?"
"10_Q1139","What is the answer to 1 x 2?"
"10_Q1140","What is the answer to 1 x 3?"
"10_Q1141","What is the answer to 1 x 4?"
"10_Q1142","What is the answer to 1 x 5?"
"10_Q1143","What is the answer to 1 x 6?"
"10_Q1144","What is the answer to 1 x 7?"
"10_Q1145","What is the answer to 1 x 8?"
"10_Q1146","What is the answer to 1 x 9?"
"10_Q1147","What is the answer to 1 x 10?"
"10_Q1148","What is the answer to 1 x 11?"
"10_Q1149","What is the answer to 1 x 12?"
"10_review1_choice","Would you like to continue practicing problems from the 1 times table?"
"11_Q1138","What is the answer to 1 x 1?"
"11_Q1139","What is the answer to 1 x 2?"
"11_Q1140","What is the answer to 1 x 3?"
"11_Q1141","What is the answer to 1 x 4?"
"11_Q1142","What is the answer to 1 x 5?"
"11_Q1143","What is the answer to 1 x 6?"
"11_Q1144","What is the answer to 1 x 7?"
"11_Q1145","What is the answer to 1 x 8?"
"11_Q1146","What is the answer to 1 x 9?"
"11_Q1147","What is the answer to 1 x 10?"
"11_Q1148","What is the answer to 1 x 11?"
"11_Q1149","What is the answer to 1 x 12?"
"11_review1_choice","Would you like to continue practicing problems from the 1 times table?"
"12_Q1138","What is the answer to 1 x 1?"
"12_Q1139","What is the answer to 1 x 2?"
"12_Q1140","What is the answer to 1 x 3?"
"12_Q1141","What is the answer to 1 x 4?"
"12_Q1142","What is the answer to 1 x 5?"
"12_Q1143","What is the answer to 1 x 6?"
"12_Q1144","What is the answer to 1 x 7?"
"12_Q1145","What is the answer to 1 x 8?"
"12_Q1146","What is the answer to 1 x 9?"
"12_Q1147","What is the answer to 1 x 10?"
"12_Q1148","What is the answer to 1 x 11?"
"12_Q1149","What is the answer to 1 x 12?"
"12_review1_choice","Would you like to continue practicing problems from the 1 times table?"
"13_Q1138","What is the answer to 1 x 1?"
"13_Q1139","What is the answer to 1 x 2?"
"13_Q1140","What is the answer to 1 x 3?"
"13_Q1141","What is the answer to 1 x 4?"
"13_Q1142","What is the answer to 1 x 5?"
"13_Q1143","What is the answer to 1 x 6?"
"13_Q1144","What is the answer to 1 x 7?"
"13_Q1145","What is the answer to 1 x 8?"
"13_Q1146","What is the answer to 1 x 9?"
"13_Q1147","What is the answer to 1 x 10?"
"13_Q1148","What is the answer to 1 x 11?"
"13_Q1149","What is the answer to 1 x 12?"
"13_review1_choice","Would you like to continue practicing problems from the 1 times table?"
"14_Q1138","What is the answer to 1 x 1?"
"14_Q1139","What is the answer to 1 x 2?"
"14_Q1140","What is the answer to 1 x 3?"
"14_Q1141","What is the answer to 1 x 4?"
"14_Q1142","What is the answer to 1 x 5?"
"14_Q1143","What is the answer to 1 x 6?"
"14_Q1144","What is the answer to 1 x 7?"
"14_Q1145","What is the answer to 1 x 8?"
"14_Q1146","What is the answer to 1 x 9?"
"14_Q1147","What is the answer to 1 x 10?"
"14_Q1148","What is the answer to 1 x 11?"
"14_Q1149","What is the answer to 1 x 12?"
"14_review1_choice","Would you like to continue practicing problems from the 1 times table?"
"15_Q1138","What is the answer to 1 x 1?"
"15_Q1139","What is the answer to 1 x 2?"
